19.06.2025; 03:31; Start Datenerfassung

Zeit	Ausgangsspannung Br�ckenverst�rker
[s]	[V]
0,000	0,222739
0,210	0,223068
0,418	0,224055
0,627	0,228659
0,835	0,228659
1,043	0,231619
1,251	0,232935
1,460	0,234579
1,668	0,236881
1,876	0,239841
2,084	0,238854
2,293	0,242801
2,502	0,243459
2,710	0,246419
2,918	0,248392
3,126	0,249707
3,334	0,250365
3,542	0,251023
3,750	0,252010
3,958	0,256614
4,166	0,256285
4,374	0,257929
4,582	0,258916
4,790	0,261876
4,998	0,264507
5,206	0,266809
5,415	0,266480
5,624	0,268125
5,832	0,270098
6,040	0,271742
6,249	0,275360
6,457	0,276018
6,665	0,276675
6,873	0,278978
7,081	0,280293
7,289	0,282266
7,497	0,286871
7,705	0,284240
7,913	0,288844
8,122	0,289831
8,330	0,289502
8,538	0,292133
8,746	0,293448
8,954	0,293777
9,163	0,299368
9,371	0,300355
9,579	0,301999
9,788	0,303315
9,997	0,305288
10,205	0,307261
10,414	0,307590
10,622	0,308577
10,830	0,310550
11,038	0,312523
11,247	0,315154
11,455	0,314497
11,663	0,318114
11,871	0,319430
12,079	0,320416
12,287	0,322719
12,495	0,324363
12,703	0,325678
12,911	0,327981
13,119	0,328309
13,327	0,331927
13,535	0,331598
13,744	0,333572
13,951	0,336203
14,159	0,337189
14,367	0,338505
14,575	0,340807
14,783	0,342451
14,991	0,343767
15,200	0,346398
15,408	0,349029
15,616	0,351331
15,824	0,349358
16,032	0,352318
16,241	0,354291
16,449	0,356593
16,657	0,386192
16,866	0,552934
17,074	0,816366
17,282	0,867671
17,490	0,870960
17,699	0,869644
17,907	0,872275
18,115	0,873262
18,323	0,876222
18,531	0,876551
18,739	0,879182
18,948	0,881484
19,156	0,882799
19,365	0,883128
19,573	0,885102
19,781	0,886746
19,989	0,888719
20,198	0,893324
20,407	0,892337
20,615	0,893652
20,823	0,895297
21,031	0,896612
21,239	0,899901
21,447	0,901546
21,656	0,901874
21,864	0,901874
22,072	0,904834
22,280	0,906479
22,488	0,907794
22,696	0,907794
22,904	0,909439
23,112	0,910425
23,320	0,913385
23,529	0,914043
23,737	0,917003
23,945	0,918647
24,153	0,919305
24,361	0,922265
24,569	0,923909
24,777	0,923909
24,985	0,927198
25,194	0,927527
25,403	0,926869
25,612	0,930158
25,820	0,932131
26,029	0,934762
26,237	0,934762
26,445	0,935420
26,653	0,939038
26,861	0,941998
27,070	0,941011
27,279	0,940682
27,488	0,944300
27,697	0,945615
27,906	0,946602
28,115	0,948904
28,323	0,950877
28,532	0,951864
28,740	0,953837
28,948	0,953837
29,156	0,957455
29,364	0,957455
29,573	0,958113
29,781	0,960086
29,989	0,962059
30,198	0,963046
