19.06.2025; 02:54; Start Datenerfassung

Zeit	Ausgangsspannung Br�ckenverst�rker
[s]	[V]
0,000	-0,052861
0,209	-0,053519
0,417	-0,055163
0,625	-0,054835
0,834	-0,054835
1,042	-0,055163
1,250	-0,056808
1,459	-0,056150
1,667	-0,057466
1,875	-0,057466
2,083	-0,058781
2,291	-0,057794
2,500	-0,059768
2,708	-0,059110
2,916	-0,060097
3,124	-0,060426
3,333	-0,060754
3,541	-0,061083
3,749	-0,061412
3,957	-0,062399
4,165	-0,062399
4,373	-0,063057
4,581	-0,062728
4,789	-0,064043
4,997	-0,065030
5,205	-0,064372
5,413	-0,065030
5,621	-0,066016
5,829	-0,065688
6,038	-0,066016
6,246	-0,067990
6,454	-0,067661
6,663	-0,067332
6,872	-0,068319
7,080	-0,068647
7,289	-0,068647
7,497	-0,069963
7,706	-0,070292
7,914	-0,070950
8,123	-0,071279
8,331	-0,071607
8,539	-0,071936
8,747	-0,073252
8,955	-0,073581
9,163	-0,073252
9,371	-0,073252
9,580	-0,073910
9,788	-0,075554
9,996	-0,074567
10,204	-0,075225
10,413	-0,076541
10,621	-0,076869
10,829	-0,075883
11,038	-0,076212
11,247	-0,048257
11,456	-0,024249
11,664	-0,034773
11,872	-0,041022
12,080	-0,047599
12,288	0,117169
12,496	0,347056
12,704	0,430591
12,912	0,509851
13,120	0,734804
13,328	0,696654
13,536	0,686130
13,744	0,673303
13,952	0,636140
14,160	0,627918
14,369	0,693694
14,577	0,675935
14,786	0,626274
14,994	0,601279
15,203	0,594044
15,411	0,598977
15,620	0,639429
15,828	0,604239
16,036	0,571680
16,244	0,571022
16,452	0,563458
16,660	0,574969
16,868	0,561814
17,076	0,534517
17,285	0,534188
17,493	0,527281
17,701	0,525637
17,909	0,522677
18,117	0,502615
18,325	0,510508
18,533	0,507877
18,741	0,501629
18,949	0,504917
19,157	0,487816
19,365	0,491433
19,573	0,493736
19,781	0,486829
19,989	0,489131
20,198	0,477621
20,406	0,475318
20,614	0,482225
20,823	0,474661
21,031	0,476305
21,240	0,472358
21,448	0,462821
21,656	0,472358
21,864	0,468083
22,072	0,466439
22,280	0,467425
22,488	0,455914
22,696	0,463479
22,905	0,461834
23,113	0,456901
23,321	0,455914
23,530	0,446048
23,738	0,450324
23,947	0,449995
24,155	0,444733
24,363	0,445719
24,571	0,437826
24,779	0,436182
24,987	0,437497
25,195	0,433222
25,403	0,434537
25,611	0,430262
25,819	0,425000
26,027	0,426973
26,235	0,425000
26,444	0,424013
26,653	0,423027
26,861	0,415462
27,069	0,418422
27,277	0,417765
27,485	0,415133
27,693	0,414476
27,901	0,408227
28,109	0,410858
28,318	0,220108
28,526	0,260231
28,734	0,236881
28,943	0,149399
29,151	0,132955
29,359	0,058300
29,567	0,037580
29,776	-0,009778
29,984	-0,031155
30,193	-0,038719
30,401	-0,063057
30,609	-0,066674
30,817	-0,070292
31,025	-0,073581
31,233	-0,074896
31,441	-0,076541
31,650	-0,078843
31,858	-0,078514
32,066	-0,079500
32,274	-0,080816
32,483	-0,081803
32,691	-0,082789
32,899	-0,082132
33,107	-0,083447
33,315	-0,085091
33,523	-0,084434
33,731	-0,086078
33,940	-0,085091
34,148	-0,085749
34,357	-0,086407
34,566	-0,088380
34,774	-0,088380
34,982	-0,088380
35,190	-0,089367
35,398	-0,091011
35,606	-0,091011
35,815	-0,091011
36,023	-0,091998
36,232	-0,092985
36,440	-0,092327
36,648	-0,093971
36,857	-0,093971
37,066	-0,094958
37,274	-0,094629
37,482	-0,094629
37,690	-0,095944
37,899	-0,096602
38,108	-0,097589
38,317	-0,098247
38,525	-0,098247
38,733	-0,097918
38,941	-0,099233
39,149	-0,101207
39,357	-0,101207
39,565	-0,100878
39,773	-0,100878
39,981	-0,102851
40,189	-0,102851
40,397	-0,103180
40,605	-0,103838
40,813	-0,104495
41,022	-0,104166
41,230	-0,105153
41,438	-0,106140
41,646	-0,106797
41,855	-0,106469
42,063	-0,106469
42,271	-0,107455
42,479	-0,108113
42,687	-0,108442
42,894	-0,110086
43,102	-0,110086
43,310	-0,110744
43,518	-0,111073
43,727	-0,111402
43,935	-0,112060
44,144	-0,112060
44,352	-0,113375
44,561	-0,113704
44,769	-0,113704
44,977	-0,096273
45,185	-0,075225
45,393	-0,045297
45,601	-0,019973
45,809	-0,004516
46,017	0,010283
46,225	0,012257
46,433	0,012257
46,641	0,022781
46,849	0,025083
47,057	0,024096
47,265	0,023110
47,473	0,024096
47,681	0,023110
47,889	0,023110
48,098	0,023110
48,307	0,022123
48,515	0,021136
48,723	0,020808
48,931	0,020808
49,139	0,019821
49,347	0,019492
49,556	0,018834
49,764	0,018834
49,972	0,018177
50,180	0,017519
50,388	0,017190
50,596	0,016861
50,804	0,015874
51,012	0,015874
51,220	0,014888
51,428	0,015217
51,637	0,014559
51,845	0,013572
52,053	0,012586
52,262	0,013243
52,471	0,011599
52,679	0,011599
52,887	0,011599
53,095	0,010612
53,303	0,010283
53,511	0,009626
53,719	0,009297
53,928	0,080006
54,136	0,070468
54,345	0,051722
54,553	0,013901
54,761	0,011270
54,970	0,008310
55,178	0,111249
55,387	0,115196
55,596	0,304630
55,804	0,404280
