19.06.2025; 03:46; Start Datenerfassung

Zeit	Ausgangsspannung Br�ckenverst�rker
[s]	[V]
0,000	-0,048257
0,209	-0,048586
0,417	-0,048586
0,625	-0,050230
0,833	-0,051217
1,041	-0,050559
1,249	-0,050888
1,458	-0,051546
1,666	-0,052204
1,874	-0,051875
2,082	-0,053848
2,290	-0,053190
2,498	-0,055492
2,707	-0,053519
2,915	-0,057794
3,123	-0,055163
3,331	-0,056150
3,539	-0,056479
3,748	-0,057137
3,957	-0,058123
4,165	-0,058123
4,373	-0,059768
4,581	-0,060426
4,789	-0,061083
4,997	-0,060754
5,205	-0,062070
5,413	-0,061412
5,621	-0,060426
5,829	-0,063385
6,037	-0,062728
6,246	-0,062070
6,455	-0,064701
6,663	-0,066345
6,871	-0,065030
7,079	-0,067003
7,287	-0,066016
7,495	-0,066674
7,703	-0,069305
7,912	-0,067661
8,120	-0,068647
8,328	-0,068319
8,537	-0,069634
8,746	-0,069305
8,955	-0,068647
9,164	-0,069963
9,372	-0,071936
9,581	-0,070292
9,789	-0,075225
9,998	-0,072923
10,206	-0,073910
10,415	-0,074238
10,623	-0,074567
10,831	-0,076541
11,039	-0,076541
11,248	-0,076212
11,456	-0,078514
11,665	-0,077527
11,873	-0,076541
12,081	-0,080487
12,289	-0,080487
12,497	-0,078843
12,705	-0,081145
12,914	-0,083447
13,122	-0,081803
13,329	-0,081474
13,538	-0,083447
13,746	-0,082789
13,955	-0,083447
14,164	-0,085091
14,372	-0,084434
14,581	-0,085420
14,789	-0,086407
14,997	-0,087065
15,208	-0,089038
15,416	-0,090025
15,625	-0,086736
15,833	-0,087722
16,041	-0,089038
16,250	-0,089367
16,459	-0,088709
16,667	-0,090025
16,876	-0,091340
17,084	-0,093313
17,292	-0,093313
17,500	-0,091998
17,708	-0,094300
17,917	-0,094958
18,125	-0,095616
18,333	-0,099562
18,542	-0,096931
18,750	-0,099233
18,959	-0,101207
19,168	0,383890
19,377	0,582862
19,586	0,819655
19,794	1,097557
20,003	0,799922
20,211	0,644033
20,419	0,590755
20,628	0,595688
20,836	0,646664
21,044	0,656531
21,252	0,720991
21,460	0,706849
21,668	0,696654
21,877	0,689747
22,085	0,680210
