19.06.2025; 04:53; Start Datenerfassung

Zeit	Ausgangsspannung Br�ckenverst�rker
[s]	[V]
0,000	-0,010107
0,208	-0,011751
0,417	-0,014054
0,625	-0,014711
0,834	-0,015040
1,041	-0,017671
1,249	-0,018987
1,457	-0,020960
1,665	-0,022276
1,873	-0,024578
2,082	-0,024578
2,290	-0,025893
2,498	-0,026880
2,706	-0,028524
2,915	-0,030498
3,123	-0,032471
3,331	-0,033129
3,539	-0,033457
3,748	-0,035431
3,956	-0,037075
4,165	-0,037733
4,374	-0,039706
4,583	-0,040693
4,791	-0,042008
4,999	-0,042337
5,208	-0,042995
5,416	-0,044968
5,625	-0,047599
5,833	-0,047599
6,042	-0,048586
6,251	-0,050230
6,459	-0,050230
6,667	-0,052204
6,875	-0,051546
7,083	-0,053519
7,292	-0,055492
7,500	-0,056479
7,709	-0,056150
7,917	-0,057794
8,125	-0,059768
8,333	-0,060426
8,541	-0,061412
8,749	-0,062728
8,958	-0,062070
9,167	-0,063714
9,375	-0,064372
9,583	-0,066016
9,791	-0,066345
9,999	-0,068319
10,207	-0,069305
10,415	-0,069305
10,624	-0,069634
10,833	-0,071607
11,042	-0,072265
11,250	-0,073252
11,458	-0,074567
11,666	-0,075554
11,874	-0,075883
12,083	-0,077198
12,291	-0,077527
12,499	-0,079172
12,707	-0,080487
12,916	-0,081145
13,124	-0,082132
13,333	-0,082132
13,541	-0,083118
13,749	-0,085091
13,957	-0,085091
14,165	-0,084763
14,373	-0,087065
14,582	-0,088709
14,790	-0,089038
14,998	-0,089367
15,207	-0,090353
15,416	-0,091998
15,625	-0,090682
15,833	-0,092656
16,042	-0,093642
16,250	-0,093642
16,459	-0,094958
16,668	-0,096273
16,877	-0,097260
17,086	-0,097260
17,294	-0,097260
17,502	-0,099562
17,711	-0,100220
17,919	-0,099233
18,127	-0,101864
18,336	-0,101864
18,543	-0,102522
18,751	-0,103180
18,960	-0,105153
19,169	-0,104495
19,377	-0,105811
19,586	-0,106140
19,794	-0,107126
20,002	-0,107784
20,210	-0,109428
20,418	-0,108771
20,627	-0,110744
20,836	-0,110415
21,044	-0,112388
21,252	-0,112717
21,460	-0,113375
21,668	-0,114033
21,876	-0,115019
22,084	-0,115348
22,293	-0,116664
22,502	-0,117650
22,710	-0,118308
22,918	-0,117979
23,126	-0,119295
23,334	-0,119953
23,542	-0,120610
23,750	-0,120281
23,958	-0,122255
24,166	-0,123241
24,375	-0,124228
24,583	-0,124228
24,791	-0,124886
24,999	-0,125872
25,208	-0,125215
25,416	-0,126859
25,624	-0,127846
25,832	-0,128175
26,040	-0,129161
26,249	-0,129819
26,458	-0,131134
26,667	-0,131792
26,876	-0,132450
27,084	-0,133437
27,292	-0,133437
27,500	-0,134752
27,708	-0,134423
27,916	-0,135410
28,124	-0,136397
28,332	-0,137383
28,540	-0,137712
28,748	-0,138699
28,956	-0,139028
29,164	-0,141330
29,372	-0,141987
29,580	-0,142316
29,788	-0,141659
29,996	-0,143632
30,204	-0,142974
30,412	-0,143961
30,620	-0,144290
30,828	-0,144947
31,036	-0,146263
31,245	-0,146921
31,453	-0,147907
31,661	-0,148236
31,870	-0,148565
32,078	-0,149552
32,286	-0,149552
32,494	-0,150867
32,702	-0,151525
32,910	-0,151854
33,118	-0,152183
33,326	-0,153169
33,535	-0,154156
33,744	-0,154156
33,953	-0,154156
34,161	-0,156129
34,370	-0,155472
34,579	-0,156129
34,787	-0,156787
34,995	-0,156787
35,203	-0,157774
35,411	0,028043
35,620	0,696654
35,828	2,392683
36,036	3,755230
36,244	4,741211
36,452	4,978334
36,660	5,022732
36,868	5,064829
37,076	5,071407
37,284	5,126658
37,492	5,148693
37,701	5,176977
37,909	5,199012
38,117	5,226638
38,325	5,233873
38,533	5,259526
38,741	5,262157
38,949	5,288138
39,158	5,291098
39,366	5,315435
39,574	5,312476
39,782	5,333195
39,991	5,332208
40,199	5,348981
40,408	5,349968
40,616	5,367398
40,825	5,366412
41,034	5,378909
41,242	5,379567
41,450	5,393051
41,658	5,393380
41,866	5,404891
42,075	5,406206
42,283	5,415086
42,492	5,416402
42,700	5,426926
42,908	5,427912
43,116	5,435477
43,325	5,440739
43,534	5,441397
43,742	5,448961
43,950	5,450934
44,159	5,459814
44,368	5,456196
44,576	5,467378
44,784	5,465076
44,993	5,470667
45,201	5,475600
45,409	5,477902
45,617	5,483493
45,825	5,482178
46,034	5,492702
46,242	5,487769
46,450	5,497306
46,658	5,495991
46,866	5,499608
47,074	5,501582
47,282	5,505528
47,490	5,508817
47,698	5,510461
47,906	5,511777
48,114	5,513421
48,323	5,519670
48,532	5,519012
48,740	5,524932
48,948	5,524932
49,156	5,528221
49,364	5,527234
49,572	5,530852
49,780	5,532496
49,988	5,535785
50,196	5,536443
50,404	5,540389
50,612	5,541705
50,821	5,544336
51,030	5,545980
51,239	5,548611
51,447	5,548940
51,655	5,552229
51,863	5,553216
52,071	5,555189
52,279	5,557162
52,487	5,557491
52,695	5,558478
52,904	5,559793
53,112	5,563082
53,320	5,565055
53,528	5,566042
53,735	5,567029
53,943	5,568673
54,151	5,570646
54,359	5,572620
54,568	5,573606
54,777	5,574264
54,985	5,576237
55,194	5,575251
55,402	5,579526
55,610	5,580184
55,818	5,581171
56,026	5,581828
56,235	5,583802
56,444	5,584459
56,652	5,587090
56,860	5,587419
57,068	5,589393
57,276	5,588735
57,484	5,591037
57,693	5,591037
57,902	5,593668
58,110	5,595312
58,318	5,594983
58,526	5,595312
58,734	5,598930
58,943	5,598930
59,152	5,601890
59,360	5,602877
59,568	5,602219
59,776	5,601561
59,984	5,604850
60,192	5,604192
60,401	5,606823
60,609	5,606165
60,817	5,607152
61,025	5,607810
61,234	5,611099
61,442	5,612085
61,650	5,610770
61,859	5,611099
62,067	5,613072
62,275	5,614059
62,483	5,616361
62,691	5,617676
62,899	5,616032
63,108	5,618334
63,316	5,618992
63,524	5,621294
63,732	5,621952
63,940	5,622281
64,148	5,622281
64,356	5,623925
64,565	5,623596
64,773	5,624254
64,981	5,625569
65,189	5,625569
65,397	5,626556
65,605	5,627543
65,813	5,629516
66,022	5,629845
66,230	5,630174
66,438	5,630503
66,647	5,630503
66,855	5,633134
67,063	5,631818
67,272	5,632805
67,480	5,633791
67,688	5,634449
67,896	5,636094
68,104	5,636094
68,312	5,636422
68,520	5,637080
68,728	5,640040
68,936	5,639053
69,144	5,640040
69,352	5,640040
69,560	5,640698
69,768	5,641027
69,976	5,642013
70,184	5,642342
70,392	5,643658
70,600	5,643987
70,808	5,643987
71,016	5,645631
71,225	5,646289
71,433	5,643987
71,641	5,643987
71,849	5,639711
72,057	5,637080
72,265	5,636094
72,473	5,630831
72,681	5,633134
72,889	5,631160
73,097	5,633791
73,305	5,633134
73,513	5,633134
73,722	5,632805
73,930	5,622609
74,138	5,633791
74,347	5,618005
74,555	5,617676
74,763	5,613401
74,972	5,624912
75,181	4,903678
75,389	3,418129
75,597	1,536940
75,805	0,942327
76,014	0,731515
76,223	0,610488
76,431	0,505904
76,639	0,415791
76,847	0,377641
77,055	0,342451
77,263	0,315483
77,472	0,292133
77,680	0,271413
77,889	0,252338
78,098	0,236881
78,306	0,220766
78,514	0,207940
78,723	0,194456
78,931	0,182945
79,139	0,171105
79,347	0,160910
79,555	0,152688
79,764	0,142164
79,972	0,133613
80,181	0,125062
80,389	0,117498
80,597	0,109934
80,805	0,101712
81,013	0,095463
81,221	0,088557
81,429	0,082966
81,638	0,076388
81,846	0,069811
82,054	0,064877
82,262	0,058629
82,470	0,053695
82,678	0,048762
82,887	0,044158
83,095	0,038896
83,303	0,033634
83,511	0,029030
83,719	0,024754
83,927	0,020479
84,135	0,016532
84,343	0,012915
84,551	0,008968
84,759	0,005021
84,967	0,000417
85,175	-0,003529
85,383	-0,006160
85,592	-0,010107
85,800	-0,014382
86,008	-0,016356
86,216	-0,020960
86,424	-0,022604
86,633	-0,027209
86,841	-0,030169
87,050	-0,032471
87,259	-0,035431
87,467	-0,038719
87,675	-0,041679
87,884	-0,044639
88,092	-0,047270
88,300	-0,049901
88,508	-0,052532
88,717	-0,055163
88,926	-0,058452
89,134	-0,060097
89,342	-0,063385
89,550	-0,065030
89,758	-0,068319
89,966	-0,070292
90,175	-0,072923
90,383	-0,074896
90,591	-0,077856
90,799	-0,079172
91,007	-0,081145
91,216	-0,084105
91,424	-0,088051
91,632	-0,088380
91,840	-0,090682
92,048	-0,092985
92,256	-0,095616
92,464	-0,097260
92,673	-0,098575
92,882	-0,101535
93,090	-0,104166
93,299	-0,105811
93,508	-0,107784
93,717	-0,108771
93,925	-0,111073
94,133	-0,113046
94,341	-0,114033
94,549	-0,115348
94,757	-0,118637
94,965	-0,120281
95,174	-0,121926
95,382	-0,124228
95,590	-0,125215
95,798	-0,126530
96,007	-0,129161
96,215	-0,129819
96,423	-0,131463
96,631	-0,134094
96,839	-0,135081
97,047	-0,135739
97,255	-0,138370
97,464	-0,140672
97,672	-0,140672
97,880	-0,142645
98,088	-0,144947
98,296	-0,145934
98,505	-0,147578
98,713	-0,148894
98,922	-0,149552
99,130	-0,151854
99,339	-0,152841
99,548	-0,153498
99,756	-0,155143
99,964	-0,157774
100,172	-0,158431
100,380	-0,159747
100,589	-0,161391
100,798	-0,164680
101,006	-0,165338
101,214	-0,165338
101,422	-0,167969
101,630	-0,169613
101,839	-0,170600
102,047	-0,170929
102,255	-0,172902
102,463	-0,174547
102,671	-0,175204
102,880	-0,177178
103,088	-0,178164
103,296	-0,178493
103,504	-0,180795
103,712	-0,182440
103,920	-0,183426
104,128	-0,184742
104,336	-0,185728
104,544	-0,187702
104,752	-0,187702
104,961	-0,189017
105,169	-0,190990
105,377	-0,191319
105,585	-0,193293
105,793	-0,194608
106,002	-0,196253
106,210	-0,195924
106,418	-0,197568
106,626	-0,198226
106,835	-0,196581
107,043	-0,200199
107,251	-0,086078
107,459	0,272729
107,667	1,084402
107,876	2,100967
108,085	3,499033
