19.06.2025; 03:12; Start Datenerfassung

Zeit	Ausgangsspannung Br�ckenverst�rker
[s]	[V]
0,000	-0,034773
0,209	-0,036746
0,417	-0,038062
0,625	-0,041679
0,834	-0,042995
1,043	-0,043324
1,251	-0,045955
1,460	-0,049573
1,669	-0,051217
1,877	-0,052861
2,085	-0,054506
2,294	-0,056479
2,502	-0,057137
2,710	-0,060097
2,918	-0,061412
3,126	-0,064372
3,335	-0,066674
3,543	-0,067332
3,751	-0,068976
3,959	-0,071936
4,167	-0,073581
4,375	-0,076212
4,583	-0,077527
4,791	-0,079829
4,999	-0,081803
5,207	-0,083776
5,416	-0,086736
5,624	-0,088709
5,832	-0,090682
6,040	-0,092656
6,250	-0,093642
6,459	-0,096273
6,668	-0,098247
6,876	-0,100220
7,084	-0,102522
7,292	-0,103838
7,500	-0,105811
7,709	-0,109428
7,917	-0,110744
8,127	-0,111731
8,336	-0,114362
8,545	-0,119953
8,753	-0,119953
8,961	-0,118966
9,169	-0,120610
9,378	-0,122584
9,586	-0,127188
9,795	-0,126530
10,003	-0,128175
10,211	-0,129490
10,419	-0,132779
10,627	-0,134094
10,835	-0,135739
11,043	-0,138041
11,251	-0,140343
11,459	-0,142316
11,667	-0,142316
11,876	-0,145276
12,084	-0,138699
12,292	-0,135410
12,500	-0,133766
12,708	-0,129490
12,917	-0,126530
13,125	-0,126859
13,333	-0,128175
13,541	-0,130806
13,749	-0,133108
13,957	-0,138370
14,166	-0,141330
14,374	-0,146921
14,583	-0,148236
14,791	-0,151196
14,999	-0,153827
15,208	-0,156129
15,416	-0,157774
15,624	-0,160076
15,833	-0,161391
16,041	-0,163036
16,249	-0,164680
16,457	-0,166982
16,665	-0,167969
16,873	-0,170600
17,081	-0,172573
17,289	-0,175533
17,498	-0,176191
17,705	-0,178493
17,913	-0,179809
18,121	-0,181782
18,329	-0,182768
18,538	-0,185071
18,747	-0,186057
18,955	-0,188031
19,163	-0,190333
19,371	-0,191977
19,580	-0,193293
19,788	-0,194279
19,996	-0,195595
20,204	-0,197568
20,412	-0,199870
20,620	-0,199541
20,828	-0,201843
21,036	-0,203488
21,244	-0,205132
21,452	-0,206119
21,660	-0,209079
21,868	-0,210394
22,076	-0,211710
22,284	-0,213025
22,492	-0,215656
22,700	-0,217630
22,908	-0,218945
23,116	-0,222234
23,324	-0,224536
23,532	-0,226181
23,739	-0,228154
23,948	-0,234074
24,156	-0,225852
24,364	-0,204146
24,572	-0,214999
24,780	-0,223221
24,988	-0,226838
25,197	-0,202830
25,406	-0,034773
25,614	0,151373
25,822	0,264836
26,030	0,511166
26,238	0,697641
26,447	0,737435
26,655	1,294885
26,863	1,229767
27,071	1,237331
27,279	1,193919
27,487	1,162347
27,695	1,141298
27,903	1,115646
28,112	1,107095
28,320	1,097557
28,528	1,083416
28,737	1,072891
28,945	1,061381
29,154	1,053816
29,363	1,044937
29,571	1,040004
29,780	1,033097
29,988	1,026520
30,197	1,020600
30,406	1,014022
30,614	1,010076
30,822	1,004156
31,031	1,000867
31,240	0,996592
31,448	0,992974
31,656	0,989356
31,864	0,986396
32,072	0,981134
32,280	0,978503
32,488	0,974886
32,696	0,970281
32,904	0,965677
33,112	0,962717
33,321	0,958770
33,528	0,955811
33,736	0,951864
33,944	0,948904
34,152	0,946273
34,361	0,942327
34,569	0,940353
34,777	0,936736
34,985	0,934433
35,194	0,930816
35,402	0,927527
35,610	0,926211
35,818	0,923252
36,026	0,921278
36,234	0,919305
36,442	0,916016
36,651	0,913714
36,859	0,911412
37,067	0,908781
37,275	0,906150
37,484	0,903519
37,692	0,901874
37,900	0,898586
38,109	0,896612
38,318	0,895297
38,526	0,892666
38,734	0,889706
38,942	0,888390
39,150	0,884773
39,358	0,883128
39,567	0,880826
39,775	0,879840
39,983	0,876880
40,191	0,874577
40,399	0,870960
40,607	0,870960
40,815	0,868000
41,023	0,867013
41,232	0,864053
41,441	0,861751
41,649	0,860765
41,857	0,858462
42,065	0,855502
42,272	0,854516
42,481	0,853200
42,690	0,850240
42,898	0,847938
43,106	0,846952
43,314	0,843992
43,522	0,841690
43,730	0,840703
43,938	0,838072
44,146	0,836099
44,354	0,834454
44,562	0,832152
44,770	0,832152
44,978	0,829192
45,187	0,826890
45,395	0,825903
45,603	0,823601
45,812	0,820970
46,021	0,818339
46,230	0,817352
46,438	0,814393
46,646	0,813735
46,855	0,828863
47,063	1,076509
47,271	0,963704
47,479	0,698298
47,687	0,400663
47,895	0,224384
48,103	0,151373
48,312	0,089543
48,520	0,255627
48,728	0,132955
48,936	0,095134
49,145	0,079677
49,353	0,080006
49,561	0,059286
49,770	0,039554
49,978	0,027714
50,187	0,019492
50,395	0,008968
50,603	0,001404
50,811	-0,001556
51,019	-0,007147
51,227	-0,016685
51,435	-0,021289
51,644	-0,028195
51,852	-0,027538
52,061	-0,033786
52,270	-0,042666
52,478	-0,045297
52,686	-0,049573
52,895	-0,050559
53,103	-0,057466
53,311	-0,066674
53,519	-0,071936
53,727	-0,076869
53,935	-0,078514
54,144	-0,082132
54,352	-0,085091
54,561	-0,091011
54,769	-0,094958
54,977	-0,099562
55,185	-0,103509
55,394	-0,108113
55,603	-0,110086
55,812	-0,113704
56,020	-0,117650
56,228	-0,120281
56,436	-0,122255
56,644	-0,122913
56,852	-0,125544
57,060	-0,128175
57,268	-0,130148
57,477	-0,135739
57,685	-0,139356
57,892	-0,141659
58,100	-0,144290
58,309	-0,146592
58,517	-0,149881
58,725	-0,153169
58,933	-0,157445
59,141	-0,160405
59,349	-0,161391
59,557	-0,163036
59,765	-0,165667
59,974	-0,167640
60,182	-0,171258
60,390	-0,173231
60,598	-0,175204
60,806	-0,176849
61,014	-0,179151
61,222	-0,181124
61,430	-0,182768
61,638	-0,185728
61,847	-0,186057
62,055	-0,189017
62,264	-0,189346
62,473	-0,191319
62,681	-0,192635
62,889	-0,195266
63,098	-0,196910
63,306	-0,198226
63,515	-0,200857
63,723	-0,202501
63,931	-0,204475
64,139	-0,207434
64,347	-0,208421
64,555	-0,208092
64,763	-0,210394
64,971	-0,213683
65,179	-0,216314
65,387	-0,218945
65,596	-0,221905
65,804	-0,224865
66,012	-0,228154
66,221	-0,231771
66,429	-0,234074
66,637	-0,237362
66,845	-0,239336
67,054	-0,243282
67,262	-0,246242
67,470	-0,250518
67,678	-0,253149
67,887	-0,255451
68,095	-0,255780
68,303	-0,259397
68,511	-0,260055
68,719	-0,261699
68,927	-0,263344
69,136	-0,265646
69,344	-0,268935
69,552	-0,269264
69,761	-0,271237
69,969	-0,272552
70,177	-0,274526
70,384	-0,275512
70,592	-0,279130
70,800	-0,281103
71,008	-0,282419
71,217	-0,285708
71,426	-0,288010
71,634	-0,290641
71,842	-0,292614
72,050	-0,294258
72,259	-0,297547
72,467	-0,299192
72,675	-0,300178
72,883	-0,302809
73,091	-0,304454
73,299	-0,306427
73,507	-0,307743
73,715	-0,309716
73,924	-0,313333
74,132	-0,314978
74,341	-0,318267
74,549	-0,297876
74,757	-0,173560
74,966	0,040540
75,174	0,366788
75,383	0,480909
75,591	0,610159
75,799	0,872275
76,007	0,932789
76,216	0,914701
76,424	0,876222
76,632	0,909439
76,840	0,905821
77,048	0,846294
77,256	0,799593
77,464	0,754537
77,672	0,734804
77,880	0,723293
78,088	0,710796
78,296	0,697969
78,503	0,682512
78,711	0,682183
78,919	0,674619
79,127	0,666726
79,335	0,657846
79,543	0,645020
79,751	0,634825
79,959	0,633180
80,166	0,628905
80,374	0,624629
80,583	0,617723
80,792	0,605226
81,000	0,602595
81,208	0,598648
81,417	0,598977
81,625	0,594373
81,833	0,585493
82,042	0,578257
82,253	0,577600
82,461	0,572995
82,669	0,572338
82,877	0,568720
83,085	0,559840
83,293	0,558525
83,501	0,558196
83,710	0,552934
83,919	0,551947
84,127	0,546685
84,336	0,542410
84,544	0,541423
84,752	0,536490
84,960	0,537805
85,168	0,534188
85,376	0,525637
85,584	0,523992
85,792	0,525308
86,000	0,521690
86,208	0,520046
86,416	0,517086
86,624	0,511166
86,832	0,511495
87,040	0,508864
87,248	0,506562
87,456	0,506562
87,664	0,497682
87,872	0,497353
88,081	0,498011
88,290	0,493736
88,498	0,494722
88,706	0,491105
88,914	0,485514
89,122	0,486171
89,330	0,485842
89,539	0,480909
89,747	0,480580
89,955	0,476305
90,163	0,471043
90,371	0,473345
90,579	0,470056
90,788	0,469070
90,997	0,468741
91,206	0,461834
91,415	0,460190
91,624	0,462492
91,832	0,458546
92,040	0,457559
92,249	0,454928
92,457	0,450652
92,666	0,451639
92,874	0,449995
93,082	0,447035
93,290	0,447035
93,498	0,441773
93,706	0,439471
93,914	0,441773
94,122	0,436840
94,330	0,437497
94,538	0,434537
94,746	0,429933
94,955	0,430920
95,163	0,430262
95,372	0,427631
95,581	0,426973
95,789	0,422369
95,998	0,421711
96,207	0,422369
96,415	0,417765
96,623	0,417765
96,832	0,416120
97,040	0,411187
97,248	0,411187
97,456	0,412831
97,665	0,407898
97,873	0,408227
98,081	0,406254
98,289	0,401978
98,497	0,403952
98,705	0,402965
98,913	0,399018
99,121	0,398690
99,329	0,394743
99,537	0,393427
99,746	0,394743
99,954	0,391783
100,163	0,390796
100,371	0,389481
100,579	0,386192
100,787	0,385534
100,995	0,386521
101,203	0,383561
101,411	0,381917
101,619	0,380272
101,828	0,378628
102,036	0,376655
102,244	0,375668
102,452	0,374353
102,661	0,372379
102,870	0,370077
103,078	0,369090
103,285	0,370077
103,493	0,366131
103,701	0,365802
103,910	0,363499
104,118	0,360211
104,327	0,360868
104,535	0,360868
104,743	0,357909
104,952	0,357909
105,161	0,353962
105,370	0,352975
105,579	0,354291
105,787	0,351002
105,995	0,349687
106,203	0,349029
106,411	0,346398
106,620	0,345082
106,828	0,345411
107,037	0,343109
107,246	0,342451
107,454	0,339491
107,662	0,338834
107,870	0,338834
108,079	0,334887
108,287	0,334229
108,495	0,333900
108,703	0,329954
108,911	0,332256
109,119	0,330940
109,328	0,326994
109,537	0,327652
109,745	0,326336
109,953	0,322061
110,161	0,325350
110,369	0,322061
110,577	0,320087
110,785	0,320416
110,993	0,316470
111,201	0,316141
111,409	0,316799
111,617	0,313510
111,826	0,312852
112,034	0,313181
112,242	0,309234
112,450	0,309234
112,658	0,309563
112,866	0,306932
113,075	0,305946
113,283	0,303644
113,491	0,301670
113,700	0,302328
113,908	0,300684
114,117	0,299697
114,325	0,298381
114,533	0,295750
114,741	0,296408
114,949	0,296408
115,158	0,291804
115,367	0,292133
115,575	0,290159
115,783	0,288844
115,991	0,288186
116,199	0,287528
116,407	0,286871
116,615	0,285555
116,823	0,283582
117,031	0,281938
117,240	0,282924
117,449	0,279635
117,657	0,278978
117,866	0,277991
118,074	0,276018
118,282	0,275689
118,490	0,275360
118,699	0,271413
118,908	0,272071
119,116	0,270756
119,324	0,270098
119,532	0,269769
119,741	0,267138
119,950	0,265822
120,159	0,265165
120,368	0,263191
120,576	0,264178
120,785	0,263191
120,993	0,259903
121,201	0,261547
121,410	0,257600
121,618	0,257600
121,827	0,257600
122,035	0,254641
122,244	0,253983
122,452	0,253654
122,661	0,249707
122,869	0,250694
123,078	0,251023
123,286	0,246090
123,494	0,248063
123,702	0,246747
123,911	0,245103
124,119	0,230304
124,327	0,202020
124,535	-0,154156
124,743	-0,410682
124,952	-0,544864
125,161	-0,635306
125,370	-0,651092
125,578	-0,440939
125,786	-0,498492
125,995	-0,520527
126,203	-0,530394
126,411	-0,540918
126,620	-0,550126
126,829	-0,555388
127,038	-0,564268
127,247	-0,569201
127,455	-0,575779
127,663	-0,576108
127,872	-0,585974
128,080	-0,590907
128,288	-0,596498
128,496	-0,602089
128,704	-0,606365
128,913	-0,610969
129,121	-0,613600
129,329	-0,615244
129,537	-0,617547
129,745	-0,620506
129,953	-0,621493
130,161	-0,623795
130,370	-0,626097
130,578	-0,630373
130,786	-0,633004
130,994	-0,634977
131,203	-0,638924
131,412	-0,641555
131,620	-0,644186
131,828	-0,648132
132,037	-0,651421
132,245	-0,654052
132,453	-0,657670
132,661	-0,660959
132,869	-0,663918
133,077	-0,665892
133,285	-0,669181
133,493	-0,672469
133,701	-0,675429
133,909	-0,677074
134,117	-0,681349
134,326	-0,683651
134,534	-0,685624
134,742	-0,688584
134,950	-0,690229
135,158	-0,691544
135,366	-0,694175
135,574	-0,693846
135,782	-0,697793
135,990	-0,700753
136,198	-0,703384
136,406	-0,704699
136,614	-0,706673
136,823	-0,708975
137,031	-0,710619
137,239	-0,712264
137,448	-0,712921
137,656	-0,715552
137,865	-0,716210
138,073	-0,718512
138,281	-0,719828
138,489	-0,721143
138,697	-0,723117
138,905	-0,725090
139,113	-0,726077
139,321	-0,726734
139,530	-0,728379
139,738	-0,729694
139,946	-0,730681
140,154	-0,732654
140,362	-0,735614
140,570	-0,734956
140,778	-0,737587
140,986	-0,737916
141,194	-0,740547
141,402	-0,743178
141,611	-0,745480
141,820	-0,746138
142,029	-0,747125
142,238	-0,749098
142,446	-0,751729
142,653	-0,750414
142,861	-0,751071
143,070	-0,754031
143,278	-0,756333
143,486	-0,758965
143,695	-0,759951
143,904	-0,762582
144,112	-0,764555
144,321	-0,765871
144,530	-0,766529
144,739	-0,768502
144,948	-0,771462
145,156	-0,772120
145,364	-0,773435
145,572	-0,775737
145,781	-0,776724
145,990	-0,777382
146,199	-0,778039
146,408	-0,780342
146,616	-0,780671
146,824	-0,782644
147,032	-0,783630
147,241	-0,785275
147,449	-0,786590
147,658	-0,788564
147,867	-0,790866
148,075	-0,791852
148,283	-0,794483
148,491	-0,796457
148,699	-0,752387
148,908	-0,574134
149,117	-0,340302
149,325	-0,147250
149,534	0,075073
149,742	0,219451
149,950	0,256943
150,158	0,247076
150,366	0,217806
150,574	0,270098
150,783	0,315154
150,991	0,322390
151,199	0,290488
151,407	0,257272
151,615	0,248721
151,824	0,246419
152,033	0,247076
152,241	0,236881
152,449	0,224055
152,658	0,218464
152,866	0,216491
153,075	0,217477
153,283	0,214517
153,491	0,207940
153,699	0,199389
153,908	0,194456
154,117	0,197087
154,325	0,196429
154,533	0,192811
154,741	0,184260
154,949	0,179327
155,157	0,177683
155,366	0,180643
155,574	0,178012
155,782	0,171434
155,990	0,166830
156,199	0,163870
156,408	0,165843
156,616	0,168474
156,824	0,165843
157,032	0,156306
157,241	0,153346
157,449	0,151701
157,657	0,155319
157,866	0,156963
158,074	0,151044
158,282	0,143151
158,490	0,140191
158,699	0,141177
158,907	0,145124
159,115	0,143808
159,324	0,139204
159,532	0,132955
159,740	0,128022
159,948	0,133284
160,156	0,135915
160,364	0,131311
160,573	0,126378
160,782	0,123089
160,990	0,121445
161,198	0,125391
161,406	0,125391
161,614	0,121445
161,822	0,114209
162,030	0,111249
162,238	0,114538
162,447	0,116840
162,655	0,114209
162,864	0,108289
163,072	0,105658
163,280	0,102698
163,488	0,109605
163,696	0,107961
163,904	0,104343
164,112	0,098094
164,321	0,097108
164,530	0,098752
164,738	0,101054
164,946	0,100725
165,154	0,095463
165,362	0,091188
165,570	0,089214
165,778	0,093490
165,986	0,093490
166,194	0,089872
166,403	0,084281
166,612	0,083295
166,820	0,081979
167,028	0,087570
167,237	0,086255
167,445	0,081650
167,654	0,076059
167,863	0,075402
168,071	0,078361
168,280	0,080006
168,489	0,077704
168,697	0,072113
168,905	0,068824
169,114	0,067180
169,322	0,072113
169,530	0,072770
169,738	0,069811
169,946	0,062904
170,155	0,063233
170,363	0,063233
170,571	0,066522
170,779	0,064220
170,987	0,060602
171,195	0,057313
171,404	0,054353
171,613	0,059944
171,821	0,059944
172,030	0,056327
172,239	0,052380
172,448	0,051064
172,656	0,050407
172,864	0,054353
173,072	0,054353
173,280	0,049091
173,488	0,045145
173,696	0,044158
173,905	0,046789
174,114	0,048433
174,322	0,045474
174,530	0,040540
174,738	0,039554
174,947	0,036265
175,156	0,042185
175,364	0,042185
175,572	0,039225
175,781	0,032976
175,989	0,031989
176,197	0,033634
176,405	0,036923
176,613	0,033963
176,822	0,030345
177,030	0,027714
177,238	0,024425
177,446	0,029030
177,655	0,030016
177,864	0,026727
178,072	0,023110
178,280	0,022781
178,489	0,020808
178,697	0,024425
178,906	0,024425
179,114	0,020479
179,323	0,017190
179,532	0,015874
179,741	0,017848
179,949	0,018834
180,158	0,017190
180,366	0,013572
180,574	0,011599
180,782	0,009955
180,990	0,012586
181,199	0,013243
181,408	0,010612
181,617	0,005350
181,826	0,006008
182,034	0,006995
182,242	0,008310
182,451	0,006995
182,659	0,005021
182,867	0,000746
183,076	0,000088
183,285	0,002390
183,493	0,002719
183,702	0,001404
183,911	-0,003201
184,119	-0,004516
184,327	-0,003201
184,536	-0,002872
184,744	-0,003529
184,952	-0,004516
185,161	-0,009120
185,369	-0,010436
185,577	-0,008134
185,785	-0,006818
185,993	-0,009120
186,201	-0,011751
186,409	-0,014711
186,617	-0,015698
186,826	-0,011751
187,035	-0,011751
187,243	-0,015698
187,451	-0,018658
187,659	-0,019645
187,868	-0,018987
188,076	-0,017013
188,286	-0,018987
188,494	-0,021618
188,702	-0,023591
188,910	-0,025564
189,118	-0,022604
189,327	-0,022276
189,536	-0,024249
189,744	-0,027866
189,952	-0,028524
190,161	-0,028524
190,370	-0,027538
190,578	-0,027538
190,786	-0,028853
190,994	-0,033129
191,202	-0,034115
191,410	-0,032800
191,618	-0,031484
191,827	-0,033129
192,035	-0,037075
192,244	-0,037733
192,454	-0,040364
192,662	-0,037075
192,870	-0,037733
193,078	-0,040035
193,287	-0,042337
193,495	-0,042666
193,703	-0,043653
193,911	-0,041679
194,119	-0,042008
194,327	-0,044968
194,535	-0,047270
194,743	-0,050230
194,951	-0,046284
195,160	-0,046941
195,368	-0,049573
195,576	-0,051217
195,784	-0,051546
195,994	-0,054177
196,202	-0,052204
196,411	-0,051875
196,619	-0,054506
196,828	-0,057137
197,037	-0,058123
197,246	-0,056150
197,454	-0,057137
197,662	-0,058781
197,870	-0,060426
198,078	-0,061741
198,286	-0,063714
198,494	-0,060754
198,702	-0,061412
198,911	-0,063385
199,120	-0,065688
199,328	-0,066345
199,536	-0,066345
199,744	-0,064701
199,952	-0,067332
200,160	-0,069634
200,368	-0,069305
200,577	-0,073252
200,785	-0,070292
200,993	-0,069634
201,201	-0,073252
201,409	-0,074567
201,617	-0,074567
201,826	-0,077198
202,034	-0,074567
202,242	-0,075225
202,451	-0,078185
202,659	-0,079829
202,867	-0,080816
203,076	-0,080816
203,284	-0,079500
203,492	-0,080158
203,700	-0,083447
203,909	-0,083447
204,118	-0,085420
204,327	-0,083776
204,535	-0,082789
204,743	-0,086407
204,951	-0,087722
205,159	-0,088051
205,368	-0,089038
205,576	-0,087394
205,784	-0,088380
205,993	-0,090682
206,201	-0,093313
206,410	-0,093642
206,618	-0,092327
206,826	-0,092985
207,034	-0,091340
207,242	-0,096931
207,451	-0,115348
207,659	-0,146921
207,867	-0,368256
208,075	-0,629057
208,283	-0,780671
208,491	-0,928666
208,699	-0,966487
208,908	-0,869468
209,116	-0,921102
209,324	-0,939190
209,533	-0,939190
209,741	-0,959581
209,950	-0,967803
210,158	-0,967803
210,366	-0,977669
210,574	-0,982273
210,783	-0,984576
210,991	-0,989509
211,199	-0,989838
211,407	-0,991153
211,615	-0,994442
211,823	-0,995100
212,031	-0,997402
212,239	-1,000033
212,447	-1,001019
212,656	-1,004637
212,864	-1,005953
213,072	-1,008584
213,280	-1,010228
213,488	-1,011872
213,697	-1,015819
213,905	-1,016148
214,114	-1,017792
214,322	-1,020423
214,530	-1,021410
214,738	-1,023712
214,946	-1,023383
215,154	-1,025357
215,363	-1,026672
215,571	-1,028316
215,779	-1,027659
215,987	-1,030619
216,195	-1,032921
216,403	-1,032263
216,612	-1,034565
216,821	-1,036538
217,029	-1,037854
217,238	-1,039827
217,447	-1,042129
217,656	-1,044432
217,864	-1,045747
218,072	-1,047391
218,281	-1,051009
218,489	-1,051338
218,697	-1,053640
218,906	-1,054956
219,114	-1,056929
219,322	-1,058902
219,530	-1,059231
219,738	-1,061862
219,946	-1,063178
220,154	-1,064164
220,362	-1,065480
220,570	-1,067782
220,779	-1,067453
220,987	-1,068769
221,195	-1,071728
221,404	-1,071728
221,612	-1,074031
221,820	-1,075675
222,028	-1,076662
222,236	-1,078964
222,445	-1,080608
222,653	-1,079950
222,862	-1,082253
223,070	-1,082910
223,278	-1,083568
223,486	-1,084884
223,695	-1,084884
223,904	-1,086528
224,112	-1,087515
224,320	-1,087844
224,529	-1,089488
224,737	-1,089159
224,945	-1,089817
225,153	-1,091461
225,362	-1,091461
225,570	-1,091461
225,778	-1,092777
225,986	-1,093106
226,194	-1,093763
226,402	-1,095408
226,611	-1,096394
226,819	-1,124020
227,027	-1,058902
227,235	-1,073702
227,443	-1,076991
227,651	-1,068111
227,860	-1,044760
228,068	-0,977998
228,277	-0,984904
228,485	-0,989838
228,693	-0,990824
228,901	-0,994442
229,109	-0,996415
229,317	-0,998388
229,525	-0,999046
229,733	-1,002006
229,941	-1,003651
230,150	-1,004637
230,359	-1,006282
230,567	-1,007926
230,775	-1,009241
230,983	-1,010886
231,192	-1,012530
231,400	-1,013846
231,608	-1,014175
231,817	-1,016806
232,025	-1,016806
232,233	-1,019437
232,442	-1,019108
232,651	-1,021081
232,859	-1,021739
233,068	-1,023054
233,276	-1,024370
233,484	-1,025028
233,692	-1,027001
233,900	-1,027330
234,108	-1,020094
234,316	-0,989838
234,524	-0,838882
234,732	-0,648790
234,940	-0,494217
235,149	-0,292285
235,358	-0,159747
235,567	-0,088051
235,775	0,149070
235,984	0,122760
236,192	0,110592
236,400	0,099081
236,608	0,087899
236,816	0,098423
237,024	0,102041
237,233	0,096450
237,442	0,096450
237,650	0,089872
237,858	0,085926
238,067	0,081321
238,277	0,076059
238,485	0,073099
238,693	0,069482
238,902	0,067508
239,110	0,064877
239,318	0,063233
239,526	0,058958
239,734	0,056984
239,942	0,056327
240,151	0,052709
240,359	0,050078
240,567	0,046460
240,775	0,044487
240,984	0,042514
241,192	0,040869
241,400	0,040869
241,608	0,036265
241,816	0,035278
242,024	0,032976
242,232	0,031332
242,440	0,031003
