19.06.2025; 03:51; Start Datenerfassung

Zeit	Ausgangsspannung Br�ckenverst�rker
[s]	[V]
0,000	0,137231
0,210	0,141177
0,418	0,140848
0,627	0,141835
0,834	0,140520
1,042	0,143151
1,251	0,146439
1,459	0,146110
1,667	0,149728
1,875	0,147755
2,083	0,149728
2,291	0,151044
2,499	0,152359
2,707	0,154004
2,916	0,154332
3,124	0,155648
3,332	0,156963
3,540	0,157950
3,748	0,159266
3,956	0,163212
4,165	0,161239
4,373	0,164528
4,582	0,164528
4,790	0,166830
4,998	0,167488
5,206	0,168474
5,414	0,171763
5,622	0,171434
5,830	0,173079
6,039	0,174723
6,248	0,175052
6,456	0,176367
6,665	0,176696
6,873	0,178998
7,082	0,179327
7,291	0,180643
7,499	0,181958
7,707	0,183932
7,916	0,184260
8,124	0,185247
8,333	0,185247
8,541	0,186891
8,749	0,189194
8,958	0,192154
9,167	0,188865
9,375	0,190509
9,583	0,194127
9,791	0,195771
9,999	0,196758
10,207	0,197416
10,415	0,200047
10,623	0,201691
10,832	0,200376
11,041	0,202349
11,250	0,203007
11,458	0,204980
11,666	0,207611
11,874	0,206953
12,082	0,207282
12,291	0,208926
12,500	0,210571
12,708	0,209584
12,916	0,214517
13,125	0,215175
13,333	0,214846
13,541	0,216819
13,750	0,217806
13,958	0,219122
14,167	0,218793
14,376	0,221424
14,585	0,224055
14,794	0,223397
15,002	0,223726
15,211	0,227344
15,419	0,227015
15,627	0,229317
15,835	0,229975
16,044	0,231290
16,252	0,230961
16,460	0,232606
16,668	0,234579
16,877	0,237210
17,085	0,237210
17,293	0,238525
17,501	0,238854
17,709	0,239841
17,917	0,242472
18,125	0,243788
18,333	0,245103
18,542	0,245103
18,750	0,246747
18,958	0,247734
19,167	0,249378
19,375	0,249707
19,583	0,249707
19,791	0,252010
20,000	0,254312
20,208	0,254641
20,417	0,256285
20,626	0,256943
20,834	0,257929
21,042	0,260560
21,250	0,260231
21,458	0,260560
21,666	0,262534
21,875	0,263849
22,083	0,266809
22,292	0,268453
22,501	0,267796
22,709	0,270098
22,917	0,270098
23,125	0,272071
23,333	0,272729
23,542	0,272071
23,750	0,274373
23,958	0,275689
24,166	0,278320
24,375	0,279306
24,584	0,279306
24,792	0,279964
25,000	0,281609
25,208	0,282266
25,417	0,283253
25,626	0,284897
25,834	0,286542
26,042	0,287528
26,250	0,290159
26,458	0,288186
26,666	0,357251
26,875	0,564116
27,083	0,937064
27,291	1,086047
27,500	1,085718
27,708	1,195563
27,916	1,178791
28,124	1,156756
28,332	1,152480
28,540	1,150836
28,749	1,154453
28,957	1,171555
29,165	1,171884
29,373	1,168266
29,581	1,152809
29,789	1,147547
29,997	1,147218
30,205	1,144587
30,414	1,144916
30,622	1,144916
30,831	1,145903
31,039	1,144587
31,247	1,146231
31,455	1,147876
31,664	1,148863
31,872	1,149191
32,080	1,148534
32,289	1,149191
32,497	1,151165
32,705	1,152151
32,914	1,152480
33,123	1,154453
33,332	1,155440
33,541	1,154125
33,749	1,155440
33,957	1,157413
34,166	1,157742
34,375	1,158400
34,584	1,159058
34,793	1,159716
35,001	1,159716
35,209	1,161360
35,417	1,161689
35,625	1,163004
35,833	1,164649
36,041	1,165306
36,249	1,167280
36,457	1,166622
36,665	1,167938
36,874	1,168595
37,082	1,171555
37,290	1,170897
37,498	1,170240
37,706	1,171555
37,915	1,174515
38,123	1,174515
38,331	1,174844
38,539	1,174844
38,747	1,176817
38,956	1,178791
39,164	1,178462
39,372	1,179448
39,581	1,181093
39,789	1,182079
39,997	1,182737
40,205	1,183395
40,413	1,185368
40,621	1,184053
40,829	1,187012
41,037	1,185697
41,246	1,189315
41,454	1,190630
41,663	1,191288
41,871	1,191288
42,080	1,192932
42,288	1,192603
42,496	1,195892
42,704	1,193590
42,913	1,195234
43,121	1,197208
43,329	1,199510
43,538	1,198523
43,746	1,200497
43,954	1,200168
44,163	1,203456
44,371	1,204443
44,579	1,204772
44,787	1,206416
44,995	1,206416
45,204	1,206416
45,413	1,209047
45,621	1,208719
45,829	1,209705
46,038	1,209705
46,247	1,212665
46,455	1,211678
46,663	1,213323
46,871	1,213652
47,079	1,216283
47,287	1,216283
47,496	1,216283
47,704	1,218914
47,913	1,221545
48,121	1,221874
48,329	1,220558
48,538	1,222203
48,746	1,222860
48,955	1,223189
49,163	1,225820
49,371	1,227793
49,580	1,227136
49,788	1,230096
49,997	1,229767
50,205	1,231411
50,413	1,231411
50,621	1,231082
50,829	1,232398
51,037	1,234042
51,245	1,235358
51,452	1,236673
51,660	1,236344
51,869	1,237331
52,078	1,239304
52,287	1,240291
52,494	1,241606
52,702	1,242593
52,910	1,241935
53,119	1,242593
53,327	1,244237
53,535	1,244566
53,743	1,247526
53,951	1,246868
54,159	1,248513
54,368	1,247197
54,577	1,249500
54,786	1,252459
54,994	1,253446
55,202	1,253446
55,411	1,253775
55,619	1,255748
55,827	1,255748
56,036	1,256406
56,245	1,261010
56,453	1,259695
56,661	1,260681
56,869	1,259695
57,078	1,260353
57,286	1,260353
57,495	1,278441
57,703	1,259366
57,911	1,286663
58,119	0,939367
58,328	0,605554
58,536	0,535832
58,745	0,571022
58,953	0,546356
59,161	0,543067
59,369	0,527939
59,577	0,578586
59,785	0,539779
59,994	0,528268
60,202	0,504260
60,410	0,501958
60,618	0,492749
60,827	0,493736
61,036	0,486829
61,245	0,484198
61,453	0,485514
61,662	0,485842
61,870	0,487816
62,078	0,490118
62,287	0,489789
62,495	0,491762
62,703	0,490118
62,911	0,491762
63,119	0,491762
63,327	0,493736
63,535	0,495709
63,743	0,495709
63,951	0,498011
64,159	0,496038
64,367	0,495380
64,575	0,498669
64,784	0,498998
64,992	0,499984
65,200	0,499984
65,408	0,502615
65,616	0,504917
65,824	0,504260
66,033	0,506562
66,241	0,505904
66,449	0,507220
66,657	0,508206
66,865	0,508535
67,074	0,509522
67,282	0,510508
67,490	0,511824
67,698	0,511166
67,906	0,514784
68,115	0,513468
68,323	0,515113
68,531	0,514784
68,739	0,515442
68,947	0,517744
69,156	0,517415
69,364	0,519717
69,572	0,519388
69,781	0,521033
69,989	0,522348
70,197	0,523006
70,405	0,522019
70,614	0,523664
70,822	0,527281
71,030	0,526295
71,239	0,527939
71,448	0,528268
71,658	0,530241
71,867	0,530899
72,076	0,529583
72,284	0,530570
72,493	0,533201
72,701	0,531557
72,909	0,534845
73,118	0,534845
73,326	0,536161
73,535	0,537476
73,743	0,536819
73,951	0,539121
74,160	0,576284
74,369	0,728226
74,577	0,953508
74,786	1,173200
74,994	1,253117
75,202	1,317577
75,410	1,334350
75,618	1,352110
75,827	1,369869
76,035	1,386971
76,243	1,369869
76,451	1,341915
76,659	1,327444
76,867	1,317577
77,076	1,270548
77,284	1,314618
77,492	1,294556
77,701	1,300147
77,909	1,293898
78,117	1,284032
78,326	1,275152
78,534	1,268246
78,743	1,261668
78,951	1,270548
79,159	1,270219
79,367	1,262984
79,575	1,257064
79,783	1,252131
79,991	1,249828
80,200	1,251144
80,408	1,249500
80,616	1,249171
80,824	1,243251
81,033	1,244237
81,241	1,245224
81,449	1,243909
81,659	1,244895
81,867	1,243909
82,075	1,243580
82,283	1,243909
82,491	1,243909
82,700	1,244895
82,909	1,245553
83,117	1,245553
83,325	1,246211
83,534	1,247526
83,743	1,245882
83,952	1,248184
84,160	1,249171
84,369	1,245224
84,577	1,246868
84,785	1,246868
84,993	1,250486
85,201	1,252788
85,409	1,249828
85,617	1,245553
85,825	1,247855
86,033	1,247855
86,242	1,249500
86,450	1,250486
86,659	1,247855
86,868	1,247197
87,077	1,247197
87,285	1,252131
87,493	1,254762
87,701	1,251144
87,910	1,248184
88,119	1,249828
88,327	1,250157
88,535	1,255748
88,744	1,255090
88,953	1,251473
89,162	1,251802
89,370	1,252131
89,578	1,255090
89,786	1,257721
89,994	1,258050
90,202	1,254433
90,411	1,255419
90,619	1,255090
90,827	1,260681
91,036	1,259366
91,245	1,256077
91,453	1,256077
91,661	1,255748
91,869	1,260353
92,078	1,262984
92,286	1,262655
92,494	1,260353
92,703	1,260353
92,911	1,261668
93,120	1,265615
93,329	1,265943
93,538	1,266272
93,746	1,264628
93,954	1,263970
94,162	1,267917
94,370	1,270877
94,578	1,270219
94,786	1,267259
94,994	1,266930
95,203	1,268574
95,411	1,271534
95,620	1,272521
95,829	1,276139
96,037	1,272850
96,245	1,272521
96,453	1,272850
96,662	1,275152
96,870	1,277783
97,079	1,277454
97,287	1,277125
97,495	1,276468
97,704	1,277454
97,912	1,280085
98,120	1,279099
98,328	1,280085
98,536	1,278112
98,745	1,281401
98,953	1,283045
99,161	1,284032
99,369	1,285676
99,577	1,281730
99,785	1,284032
99,994	1,285018
100,203	1,286992
100,412	1,287978
100,621	1,286992
100,829	1,286005
101,038	1,286334
101,247	1,288636
101,455	1,290938
101,663	1,291267
101,871	1,290609
102,080	1,291267
102,288	1,292254
102,496	1,291925
102,704	1,295871
102,913	1,293898
103,122	1,294227
103,330	1,294556
103,538	1,295214
103,746	1,297516
103,954	1,299489
104,162	1,297187
104,371	1,297845
104,579	1,299489
104,787	1,301462
104,995	1,296529
105,203	1,266930
105,411	0,811762
105,619	0,673632
105,828	0,703231
106,036	0,680868
106,244	0,728555
106,453	0,673961
106,661	0,683828
106,869	0,691063
107,077	0,688432
107,285	0,688432
107,494	0,682183
107,702	0,682183
107,910	0,683170
108,119	0,680539
108,328	0,680539
108,537	0,681197
108,745	0,679881
108,953	0,681197
109,161	0,682183
109,370	0,681854
109,578	0,680539
109,786	0,682183
