19.06.2025; 03:22; Start Datenerfassung

Zeit	Ausgangsspannung Br�ckenverst�rker
[s]	[V]
0,000	-0,005503
0,210	-0,002872
0,418	-0,004845
0,626	-0,005174
0,835	-0,004516
1,042	-0,004187
1,251	-0,004845
1,459	-0,003858
1,668	-0,006160
1,877	-0,004516
2,085	-0,006160
2,295	-0,004845
2,504	-0,003529
2,713	-0,002214
2,922	-0,005832
3,130	-0,005832
3,339	-0,004516
3,547	-0,003858
3,755	-0,006160
3,963	-0,005503
4,171	-0,006489
4,379	-0,005832
4,587	-0,006818
4,795	-0,005174
5,003	-0,005832
5,212	-0,008463
5,420	-0,004845
5,629	-0,006489
5,837	-0,005174
6,045	-0,006160
6,253	-0,003858
6,462	-0,006160
6,670	-0,005832
6,879	-0,004516
7,087	-0,005503
7,296	-0,006818
7,505	-0,006160
7,713	-0,007147
7,922	-0,006818
8,131	-0,006818
8,339	-0,007147
8,547	-0,005832
8,755	-0,007476
8,964	-0,006489
9,172	-0,007805
9,380	-0,007805
9,589	-0,006489
9,797	-0,007147
10,005	-0,005832
10,214	-0,009449
10,423	-0,007805
10,632	-0,007476
10,841	-0,005503
11,049	-0,006489
11,259	-0,006818
11,468	-0,006818
11,676	-0,006818
11,885	-0,007805
12,094	-0,006489
12,302	-0,007805
12,510	-0,008134
12,718	-0,006489
12,926	-0,005503
13,135	-0,006818
13,343	-0,006489
13,551	-0,005174
13,759	-0,006489
13,967	-0,008792
14,175	-0,007805
14,383	-0,007147
14,591	-0,007476
14,800	-0,008792
15,008	-0,008134
15,216	-0,006818
15,424	-0,009120
15,632	-0,006489
15,840	-0,006160
16,049	-0,006489
16,257	-0,006818
16,465	-0,008134
16,673	-0,008792
16,882	-0,007476
17,090	-0,006818
17,299	-0,007147
17,507	-0,009120
17,715	-0,009120
17,923	-0,009120
18,132	-0,007805
18,340	-0,006818
18,548	-0,009449
18,756	-0,007476
18,964	-0,008463
19,172	-0,009778
19,380	-0,009449
