19.06.2025; 04:11; Start Datenerfassung

Zeit	Ausgangsspannung Br�ckenverst�rker
[s]	[V]
0,000	-0,017013
0,209	-0,017671
0,417	-0,017671
0,626	-0,017013
0,834	-0,016685
1,042	-0,017342
1,250	-0,016685
1,458	-0,018000
1,667	-0,017342
1,875	-0,017671
2,084	-0,017342
2,292	-0,017342
2,501	-0,017342
2,709	-0,017013
2,918	-0,017342
3,126	-0,018000
3,335	-0,017342
3,543	-0,017671
3,752	-0,017671
3,960	-0,017671
4,168	-0,018000
4,376	-0,018000
4,584	-0,018329
4,793	-0,016685
5,001	-0,018329
5,209	-0,018329
5,417	-0,018000
5,626	-0,016685
5,835	-0,017013
6,043	-0,017013
6,252	-0,018000
6,461	-0,017013
6,669	-0,017342
6,877	-0,017671
7,086	-0,017342
7,295	-0,018000
7,503	-0,017013
7,711	-0,017342
7,919	-0,017671
8,129	-0,017342
8,337	-0,017013
8,545	-0,017013
8,753	-0,017671
8,961	-0,017013
9,169	-0,016685
9,378	-0,016356
9,586	-0,017013
9,794	-0,017013
10,002	-0,016356
10,211	-0,016685
10,419	-0,016685
10,627	-0,016027
10,836	-0,016356
11,044	-0,016027
11,253	-0,016685
11,461	-0,016356
11,669	-0,016685
11,877	-0,016685
12,086	-0,016685
12,294	-0,016356
12,502	-0,015698
12,711	-0,016027
12,919	-0,015698
13,127	-0,015369
13,335	-0,015698
13,544	-0,016027
13,752	-0,015698
13,961	-0,016027
14,169	-0,015369
14,377	-0,016027
14,585	-0,016356
14,794	-0,015040
15,003	-0,015369
15,213	-0,015698
15,421	-0,016027
15,629	-0,015369
15,838	-0,015040
16,046	-0,015369
16,254	-0,015369
16,462	-0,014711
16,670	-0,015040
16,878	-0,014382
17,086	-0,014711
17,294	-0,015369
17,503	-0,014711
17,711	-0,015369
17,920	-0,015040
18,128	-0,014711
18,336	-0,014382
18,545	-0,015040
18,754	-0,014382
18,962	-0,013725
19,170	-0,014711
19,378	-0,013725
19,586	-0,013725
19,795	-0,014382
20,004	-0,013725
20,212	-0,013396
20,421	0,080664
20,629	0,345082
20,837	1,284361
21,046	2,187134
21,254	3,290524
21,463	4,253154
21,671	5,082917
21,879	5,350297
22,087	5,526576
22,296	5,591037
22,504	5,661746
22,712	5,721273
22,921	5,750544
23,129	5,782445
23,337	5,793627
23,546	5,813031
23,754	5,829804
23,963	5,841644
24,171	5,852497
24,380	5,865652
24,588	5,876834
24,797	5,890976
25,005	5,900513
25,213	5,905118
25,421	5,913340
25,630	5,921233
25,838	5,934388
26,047	5,940637
26,255	5,943925
26,463	5,950174
26,671	5,957409
26,880	5,964645
27,088	5,971880
27,296	5,977471
27,504	5,977800
27,712	5,982075
27,920	5,991284
28,128	5,996546
28,337	5,999835
28,545	6,006084
28,754	6,004439
28,962	6,012004
29,170	6,019897
29,378	6,022199
29,587	6,026145
29,795	6,026803
30,003	6,030750
30,211	6,037656
30,421	6,041932
30,630	6,044234
30,838	6,044892
31,047	6,049167
31,256	6,053443
31,464	6,059362
31,672	6,062651
31,880	6,062980
32,089	6,065611
32,297	6,066927
32,505	6,073175
32,714	6,076464
32,922	6,076464
33,130	6,077122
33,337	6,081068
33,545	6,086331
33,754	6,090606
33,963	6,091264
34,171	6,091922
34,378	6,093895
34,586	6,097512
34,794	6,101788
35,002	6,104090
35,212	6,102775
35,420	6,104748
35,629	6,107708
35,837	6,112641
36,045	6,113956
36,253	6,115930
36,462	6,116588
36,670	6,117903
36,878	6,122507
37,086	6,126783
37,294	6,125467
37,502	6,127441
37,710	6,128098
37,918	6,131058
38,127	6,133689
38,335	6,136978
38,543	6,137307
38,751	6,136649
38,959	6,140267
39,167	6,142898
39,375	6,145529
39,583	6,144542
39,791	6,146187
40,000	6,148160
40,209	6,151120
40,417	6,154409
40,625	6,155395
40,833	6,154409
41,042	6,157040
41,250	6,160986
41,459	6,160986
41,667	6,164275
41,876	6,163289
42,084	6,163617
42,292	6,167235
42,501	6,170524
42,709	6,171511
42,917	6,170195
43,125	6,172497
43,333	6,175128
43,541	6,178088
43,750	6,180061
43,958	6,181048
44,166	6,180390
44,375	6,180390
44,583	6,184337
44,792	6,187297
45,001	6,185981
45,211	6,186639
45,419	6,188283
45,628	6,190257
45,837	6,192559
46,046	6,194532
46,254	6,194532
46,463	6,193874
46,671	6,196834
46,879	6,200452
47,087	6,200781
47,295	6,201110
47,504	6,202096
47,712	6,201768
47,920	6,205385
48,128	6,205056
48,337	6,208345
48,545	6,207359
48,753	6,207030
48,961	6,211305
49,170	6,213278
49,378	6,213278
49,586	6,213607
49,794	6,214265
50,002	6,216567
50,210	6,218540
50,418	6,219527
50,626	6,218212
50,835	6,219198
51,044	6,221500
51,252	6,224131
51,461	6,224460
51,670	6,225447
51,878	6,412580
52,087	6,318520
52,295	3,392147
52,504	1,493528
52,712	1,212665
52,921	1,135050
53,130	0,983436
53,337	0,909110
53,546	0,842347
53,754	0,809131
53,962	0,776900
54,170	0,748288
54,379	0,725266
54,588	0,704547
54,796	0,685472
55,004	0,669028
55,214	0,653900
55,423	0,639429
55,632	0,626274
55,840	0,614434
56,049	0,603252
56,258	0,592728
56,466	0,582204
56,674	0,572995
56,882	0,564116
57,090	0,555236
57,299	0,547672
57,508	0,540108
57,716	0,533201
57,924	0,526623
58,132	0,518730
58,340	0,513139
58,549	0,506891
58,757	0,501300
58,965	0,496038
59,173	0,489131
59,381	0,484198
59,589	0,480252
59,798	0,474989
60,007	0,470056
60,215	0,465781
60,423	0,461505
60,631	0,457559
60,839	0,453612
61,047	0,449008
61,255	0,445061
61,463	0,442102
61,671	0,438813
61,879	0,435195
62,087	0,431577
62,295	0,428289
62,503	0,424342
62,712	0,421711
62,920	0,418422
63,129	0,415462
63,337	0,412831
63,545	0,409214
63,753	0,407240
63,961	0,404280
64,169	0,401321
64,378	0,398690
64,586	0,395401
64,794	0,393756
65,003	0,391125
65,212	0,388494
65,420	0,386850
65,628	0,383561
65,837	0,381917
66,046	0,379615
66,255	0,377970
66,464	0,375339
66,672	0,374353
66,880	0,371721
67,088	0,369748
67,297	0,368104
67,505	0,365802
67,713	0,363828
67,921	0,362842
68,130	0,359882
68,338	0,358566
68,546	0,356593
68,755	0,355606
68,964	0,353962
69,172	0,351989
69,381	0,350015
69,589	0,348700
69,797	0,346727
70,006	0,345082
70,214	0,343767
70,422	0,342122
70,631	0,340478
70,839	0,339162
71,047	0,337518
71,255	0,337189
71,463	0,335874
71,671	0,333572
71,879	0,331927
72,087	0,331269
72,295	0,330612
72,503	0,328309
72,711	0,327981
72,920	0,326336
73,128	0,324692
73,335	0,324034
73,543	0,323047
73,751	0,321403
73,960	0,321403
74,168	0,319101
74,376	0,318114
74,584	0,316799
74,793	0,316141
75,001	0,315154
75,210	0,313839
75,418	0,313181
75,627	0,313181
75,835	0,311208
76,043	0,310879
