19.06.2025; 05:15; Start Datenerfassung

Zeit	Ausgangsspannung Br�ckenverst�rker
[s]	[V]
0,000	0,029358
0,210	0,029687
0,418	0,031332
0,626	0,031332
0,834	0,030674
1,041	0,032647
1,249	0,033305
1,457	0,034292
1,665	0,036265
1,873	0,034621
2,081	0,035278
2,289	0,036265
2,496	0,037580
2,704	0,037580
2,912	0,039554
3,120	0,039225
3,328	0,039883
3,536	0,039554
3,744	0,041198
3,952	0,041856
4,160	0,042514
4,368	0,042514
4,576	0,043171
4,784	0,044816
4,992	0,043829
5,200	0,044158
5,408	0,044816
5,616	0,046460
5,824	0,046789
6,032	0,048105
6,240	0,048105
6,448	0,048762
6,656	0,051064
6,864	0,050078
7,072	0,050736
7,280	0,051064
7,487	0,051722
7,695	0,052380
7,903	0,054353
8,111	0,054024
8,319	0,054353
8,527	0,055340
8,735	0,055998
8,943	0,055998
9,151	0,056984
9,359	0,057313
9,567	0,058300
9,775	0,058300
9,982	0,060273
10,189	0,059944
10,397	0,059944
10,604	0,061260
10,811	0,061917
11,019	0,062246
11,226	0,062246
11,434	0,061917
11,642	0,063562
11,850	0,063562
12,057	0,065864
12,265	0,085926
12,473	0,193140
12,681	0,558196
12,889	0,524979
13,096	0,554907
13,304	0,508864
13,512	0,506562
13,720	0,509193
13,928	0,508535
14,136	0,508535
14,344	0,509522
14,552	0,510837
14,760	0,510837
14,968	0,510837
15,176	0,513139
15,384	0,513468
15,592	0,513797
15,800	0,514455
16,007	0,515442
16,215	0,514455
16,423	0,515113
16,631	0,515770
16,838	0,516757
17,046	0,517415
17,254	0,518401
17,462	0,519059
17,670	0,519059
17,878	0,520046
18,086	0,520375
18,294	0,521033
18,502	0,521690
18,710	0,521690
18,918	0,521361
19,126	0,522348
19,334	0,523664
19,541	0,523992
19,748	0,524650
19,956	0,524321
20,164	0,526295
20,372	0,526623
20,580	0,526952
20,787	0,527281
20,995	0,526623
21,203	0,528926
21,411	0,529255
21,618	0,529255
21,826	0,530241
22,034	0,530899
22,242	0,530899
22,450	0,533201
22,658	0,532872
22,866	0,533530
23,074	0,533201
23,282	0,535174
23,490	0,534845
23,698	0,535503
23,906	0,535832
24,113	0,536490
24,321	0,536819
24,528	0,538134
24,736	0,539450
24,944	0,538792
25,152	0,540436
25,359	0,540108
25,566	0,540765
25,774	0,541094
25,982	0,542081
26,190	0,541094
26,397	0,543067
26,605	0,543067
26,813	0,543396
27,021	0,544712
27,229	0,545041
