19.06.2025; 05:20; Start Datenerfassung

Zeit	Ausgangsspannung Br�ckenverst�rker
[s]	[V]
0,000	-0,281432
0,211	-0,281761
0,419	-0,282419
0,627	-0,282090
0,835	-0,282748
1,042	-0,284063
1,250	-0,284063
1,458	-0,284063
1,667	-0,284063
1,875	-0,284721
2,083	-0,286036
2,290	-0,287352
2,498	-0,287023
2,705	-0,288010
2,912	-0,288668
3,120	-0,289983
3,328	-0,288996
3,536	-0,288996
3,744	-0,289325
3,952	-0,291299
4,160	-0,291956
4,368	-0,291956
4,576	-0,291627
4,784	-0,292285
4,992	-0,292943
5,200	-0,292614
5,408	-0,293601
5,615	-0,295245
5,823	-0,294916
6,031	-0,295574
6,238	-0,297218
6,445	-0,297218
6,653	-0,296561
6,860	-0,297547
7,068	-0,297547
7,276	-0,298863
7,484	-0,299521
7,691	-0,299192
7,899	-0,299192
8,106	-0,299849
8,314	-0,301494
8,522	-0,302480
8,730	-0,301494
8,938	-0,303138
9,146	-0,302480
9,354	-0,303138
9,561	-0,302152
9,769	-0,304783
9,977	-0,304454
10,185	-0,305111
10,392	-0,306098
10,600	-0,307085
10,807	0,038238
11,015	0,776571
11,223	0,569707
11,431	0,563129
11,639	0,562471
11,847	0,570364
12,055	0,558196
12,263	0,567404
12,471	0,563129
12,679	0,559182
12,886	0,564445
13,093	0,557209
13,300	0,565102
13,508	0,558196
13,716	0,558525
13,924	0,565102
14,132	0,554907
14,340	0,562471
14,548	0,559511
14,755	0,558196
14,962	0,559511
15,169	0,553263
15,376	0,561814
15,584	0,560827
15,792	0,554907
16,000	0,576284
16,208	0,555565
16,415	0,554578
16,622	0,562142
16,829	0,603910
17,037	0,588124
17,245	2,004606
17,452	4,727069
17,661	5,889660
17,869	6,121850
18,077	6,139609
18,285	6,122178
18,493	6,117574
18,701	6,114943
18,909	6,113956
19,117	6,115601
19,325	6,114943
19,533	6,113956
19,741	6,117903
19,949	6,119547
20,156	6,116916
20,363	6,118890
20,570	6,117903
20,778	6,114943
20,986	6,118232
21,194	6,115272
21,402	6,114285
21,610	6,118561
21,818	6,113956
22,026	6,110997
22,234	6,113299
22,442	6,142569
22,650	5,386145
22,858	2,354862
23,066	0,516757
23,274	0,548987
23,481	0,546685
23,688	0,546027
23,896	0,546685
24,104	0,544054
24,312	0,544054
24,520	0,552605
24,728	0,552934
24,936	0,562142
25,144	0,558854
25,352	0,557538
25,560	0,554249
25,768	0,552934
25,976	0,552605
26,183	0,550632
26,391	0,579573
26,599	0,556223
26,807	0,205966
27,014	0,118814
27,222	0,339820
27,430	1,484648
27,638	1,865490
27,845	1,215296
28,053	0,662450
28,261	0,603252
28,469	0,777887
28,677	2,234821
28,885	2,615334
29,093	2,679137
29,301	2,613032
29,509	2,537719
29,717	2,687359
29,925	2,775827
30,133	2,764646
30,340	2,762672
30,548	2,760699
30,756	2,761028
30,964	2,760699
31,172	2,758726
31,380	2,730771
31,588	2,708736
31,795	2,777472
32,003	2,758726
32,211	2,757739
32,419	2,757739
32,626	2,756424
32,833	2,755437
33,041	2,756424
33,248	2,753793
33,456	2,754450
33,664	2,754779
33,872	2,752148
34,080	2,752477
34,288	2,752806
34,496	2,751490
34,704	2,752148
34,912	2,751490
35,120	2,748202
35,328	2,750833
35,536	2,749846
35,744	2,749517
35,952	2,762015
36,160	1,860557
36,368	0,848267
36,576	0,321403
36,784	0,420396
36,992	0,519059
37,200	0,519059
37,408	0,518401
37,616	0,517086
37,824	0,517415
38,032	0,516428
38,240	0,517415
38,448	0,516099
38,656	0,514784
38,864	0,514784
39,072	0,514126
39,280	0,513797
39,487	0,514455
39,695	0,512482
39,903	0,512482
40,111	0,512811
40,319	0,511495
40,527	0,510508
40,735	0,510837
40,942	0,508864
41,150	0,893981
41,358	1,468533
41,566	1,727690
41,774	1,615871
41,982	1,621133
42,190	1,619160
42,397	1,618502
42,605	1,620804
42,813	1,617844
43,021	1,619488
43,229	1,618831
43,437	1,617844
43,645	1,617186
43,852	1,615542
44,060	1,616857
44,268	1,614555
44,476	1,613897
44,684	1,614884
44,892	1,613569
45,099	1,615213
45,306	1,613569
45,514	1,612253
45,722	1,611266
45,930	1,610609
46,138	1,611924
46,346	1,610938
46,553	1,610280
46,761	1,609951
