19.06.2025; 05:25; Start Datenerfassung

Zeit	Ausgangsspannung Br�ckenverst�rker
[s]	[V]
0,000	0,111907
0,210	0,113551
0,418	0,114209
0,625	0,114538
0,832	0,115196
1,040	0,113880
1,248	0,114867
1,456	0,115854
1,664	0,116183
1,872	0,117827
2,080	0,118156
2,287	0,116840
2,495	0,118814
2,703	0,119142
2,911	0,119800
3,118	0,120787
3,326	0,121445
3,534	0,122102
3,742	0,122431
3,950	0,122760
4,158	0,123747
4,367	0,124404
4,575	0,124404
4,783	0,309892
4,991	0,777229
5,199	0,713427
5,407	0,599635
5,615	0,568391
5,823	0,567733
6,031	0,574969
6,239	0,567076
6,447	0,574640
6,655	0,571022
6,863	0,571680
7,071	0,581217
7,279	0,573324
7,487	0,578257
7,694	0,576284
7,902	0,575298
8,110	0,579573
8,318	0,573653
8,526	0,580889
8,734	0,577600
8,942	0,577271
9,150	0,585164
9,358	0,577929
9,566	0,580889
9,774	0,581875
9,982	0,581875
10,190	0,581217
10,398	0,580231
10,606	0,582533
10,814	0,582862
11,022	0,583191
11,230	0,584835
11,437	0,582862
11,645	0,572009
11,853	0,404280
12,061	0,493407
12,269	1,583641
12,477	2,515684
12,685	2,623227
12,893	3,227050
13,101	3,412209
13,309	3,820677
13,517	3,546063
13,724	3,500020
13,932	3,970317
14,140	3,921643
14,348	4,078190
14,556	3,996299
14,764	4,033133
14,972	3,952229
15,180	4,008467
15,388	3,975908
15,596	3,957820
15,803	3,969002
16,011	4,023925
16,219	3,998601
16,427	3,999588
16,635	4,001890
16,843	4,002547
17,050	4,000574
17,258	4,005507
17,466	4,003205
17,673	4,004192
17,881	4,005507
18,089	4,004850
18,297	4,004850
18,505	4,006494
18,713	4,007481
18,921	4,005179
19,128	4,006494
19,335	4,008796
19,543	4,006165
19,751	4,009454
19,959	4,009125
20,167	4,007810
20,375	4,010112
20,583	4,011098
20,791	4,010441
20,999	4,011098
21,207	4,011098
21,415	4,011756
21,623	4,042671
21,831	4,494223
22,039	4,035435
22,247	3,747666
22,455	4,204808
22,662	2,998808
22,870	1,149191
23,078	0,729213
23,286	0,611803
23,493	0,613448
23,701	0,611474
23,909	0,613119
24,117	0,616407
24,325	0,615421
24,532	0,615421
24,739	0,614763
24,947	0,615421
25,154	0,616079
25,362	0,614763
25,570	0,614105
25,778	0,616407
25,986	0,616079
26,194	0,605883
26,402	1,152151
26,610	2,399590
26,818	2,848181
27,026	3,374059
27,233	3,646371
27,440	3,559876
27,648	3,690441
27,855	3,291510
28,063	3,120822
28,271	3,483576
28,479	3,629927
28,687	3,969331
28,895	3,554614
29,103	3,462527
29,310	3,381623
29,518	3,465158
29,726	3,476011
29,934	3,458910
30,142	3,459239
30,350	3,461541
30,558	3,460225
30,765	3,459896
30,973	3,462199
31,181	3,462527
31,389	3,461541
31,597	3,464172
31,805	3,464830
32,013	3,462856
32,221	3,464172
32,429	3,465816
32,637	3,464830
32,844	3,466145
33,052	3,467789
33,260	3,466145
33,468	3,465487
33,675	3,469434
33,883	3,468776
34,091	3,467132
34,298	3,469434
34,506	3,467789
34,714	3,469105
34,922	3,469763
35,130	3,469434
35,338	3,471078
35,546	3,473380
35,754	3,473709
35,962	3,472065
36,170	3,473709
36,378	3,471407
36,586	3,472065
36,794	3,474696
37,001	3,483905
37,210	3,677286
37,418	2,585406
37,626	1,657638
37,834	1,062696
38,042	0,647322
38,250	0,641073
38,458	0,642060
38,666	0,642389
38,873	0,642718
39,081	0,641731
39,289	0,642060
39,497	0,641073
39,705	0,641402
39,912	0,642718
40,120	0,641731
40,328	0,642389
40,536	0,642718
40,744	0,643376
40,951	0,642718
41,159	0,644362
41,367	0,644033
41,575	0,643704
41,783	0,643376
41,991	0,201033
42,198	0,202020
42,405	0,209584
42,613	0,207940
42,820	0,208269
43,028	0,207611
43,236	0,206953
43,444	0,207282
43,651	0,207940
43,859	0,207282
44,066	0,208597
44,274	0,208269
44,482	0,209584
44,690	0,208597
44,898	0,209255
45,106	0,209913
45,314	0,210571
45,522	0,209584
45,729	0,210571
