19.06.2025; 05:24; Start Datenerfassung

Zeit	Ausgangsspannung Br�ckenverst�rker
[s]	[V]
0,000	-0,010107
0,211	-0,010107
0,419	-0,010436
0,627	-0,011094
0,835	-0,009778
1,042	-0,010436
1,250	-0,011751
1,458	-0,010765
1,666	-0,011423
1,873	-0,012080
2,081	-0,011094
2,289	-0,011751
2,497	-0,011751
2,705	-0,013396
2,913	-0,013725
3,120	-0,013067
3,328	-0,014054
3,536	-0,014054
3,743	-0,013396
3,950	-0,014054
4,158	-0,013396
4,366	0,602595
4,574	0,893324
4,782	0,862409
4,989	0,871618
5,196	0,871618
5,403	0,863724
5,611	0,873262
5,819	0,864382
6,026	0,869644
6,234	0,867342
6,442	0,864053
6,650	0,872275
6,858	0,861751
7,065	0,869644
7,272	0,867013
7,480	0,864053
7,688	0,869644
7,896	0,862080
8,104	0,868658
8,312	0,865369
8,520	0,863724
8,728	0,868986
8,936	0,859778
9,144	0,867342
9,351	0,864382
9,559	0,863396
9,767	0,867013
9,975	0,862080
10,183	0,866684
10,391	0,862080
10,598	0,863396
10,806	0,867013
11,013	0,860765
11,221	0,865040
11,429	0,862409
11,637	0,863396
11,845	0,863396
12,052	0,860436
12,260	0,865698
12,468	0,859778
12,676	0,863396
12,884	0,863067
13,092	0,859778
13,300	0,862738
13,508	0,860765
13,715	0,860765
13,923	0,861093
14,131	0,859449
14,339	0,991329
14,547	0,515770
14,755	0,594701
14,963	1,033426
15,171	1,585943
15,379	3,853565
15,586	6,305036
15,794	6,812170
16,001	7,443621
16,209	8,381262
16,417	7,573200
16,625	7,565965
16,833	7,637003
17,041	7,649501
17,249	7,645554
17,457	7,645883
17,665	7,644567
17,873	7,646212
18,081	7,648185
18,289	7,644896
18,497	7,642594
18,704	7,646212
18,912	7,649501
19,120	7,644567
19,328	7,644567
19,536	7,647856
19,744	7,645225
19,952	7,646870
20,160	7,648185
20,368	7,644567
20,576	7,644896
20,784	7,649829
20,991	7,644896
21,199	7,646212
21,407	7,647856
21,615	7,810324
21,823	6,271490
22,031	4,894140
22,239	3,832517
22,447	1,250815
22,655	0,861751
22,863	0,859120
23,070	0,859449
23,278	0,871289
23,486	0,870960
23,694	0,869644
23,901	0,871289
24,108	0,870302
24,316	0,868000
24,524	0,868658
24,732	0,893324
24,940	1,055132
25,147	1,306396
25,355	2,947502
25,563	5,560122
25,771	5,776854
25,978	7,027258
26,186	7,569911
26,394	7,899779
26,602	7,590960
26,810	8,292135
27,017	7,921485
27,225	6,312271
27,433	6,532950
27,641	6,384625
27,848	6,402713
28,056	6,442508
28,264	6,507955
28,471	6,523413
28,679	6,515848
28,887	6,520782
29,095	6,518479
29,303	6,515848
29,511	6,521439
29,719	6,520782
29,927	6,517822
30,135	6,519137
30,343	6,518151
30,550	6,517822
30,758	6,519795
30,966	6,517493
31,174	6,516835
31,381	6,519137
31,589	6,516177
31,797	6,518151
32,005	6,519466
32,213	6,515848
32,420	6,517164
32,628	6,517822
32,836	6,515520
33,044	6,518151
33,252	6,516177
33,460	6,513546
33,668	6,517164
33,876	6,516177
34,084	6,514862
34,292	6,702981
34,500	6,975295
34,708	6,503022
34,916	6,014635
35,124	4,802712
35,332	5,597943
35,540	6,254388
35,748	4,363986
35,956	1,293240
36,164	0,861093
36,372	0,861751
36,580	0,861751
36,788	0,859120
36,996	0,860107
37,204	0,858133
37,411	0,859778
37,619	0,857805
37,827	0,856818
38,034	-0,001885
38,242	-0,024578
38,450	-0,024907
38,658	-0,025893
38,866	-0,024578
39,074	-0,025235
39,282	-0,025564
39,490	-0,027209
39,698	-0,026222
39,906	-0,026222
40,114	-0,027209
40,322	-0,026222
40,529	-0,027209
40,737	-0,027209
40,945	-0,028195
